ID | Name   | Age | Gender | Restance | Active | Competitor |  Discipline  
1 | Anna    | 15 | Female | false | true | true | Butterfly
2 | Jake    | 12 | Male   | false | true | true | Breaststroke
3 | Felix    | 10 | Male   | false | true | true | Breaststroke
4 | Sylvie    | 15 | Female | false | true | true | Freestyle
5 | Oscar    | 18 | Male   | false | true | true | Freestyle
6 | Camille    | 8 | Female | false | false | false | null
7 | Mia    | 18 | Female | false | true | false | null
8 | Joey    | 14 | Male   | false | true | true | Backstroke
9 | Ella    | 17 | Female | false | true | true | Backstroke
10 | Marcus    | 18 | Male   | false | true | true | Breaststroke
11 | Gavin    | 12 | Male   | false | true | true | Butterfly
12 | Mia    | 18 | Female | true | true | true | Backstroke
13 | Jared    | 16 | Male   | false | true | false | null
14 | William    | 7 | Male   | false | true | true | Breaststroke
15 | Ginny    | 9 | Female | false | true | false | null
16 | Camille    | 15 | Female | false | true | false | null
17 | Owen    | 9 | Male   | false | true | true | Breaststroke
18 | Annie    | 15 | Female | false | false | false | null
19 | Finn    | 14 | Male   | false | true | false | null
20 | Aiden    | 11 | Male   | false | true | false | null
21 | Brynn    | 12 | Female | false | true | true | Breaststroke
22 | Austin    | 15 | Male   | false | false | false | null
23 | Henry    | 14 | Male   | false | true | true | Butterfly
24 | Rowan    | 10 | Female | false | true | true | Breaststroke
25 | Anna    | 8 | Female | false | false | false | null
26 | Nathan    | 12 | Male   | false | true | false | null
27 | Bryan    | 7 | Male   | true | true | true | Freestyle
28 | Adeline    | 15 | Female | false | true | true | Breaststroke
29 | Alan    | 11 | Male   | false | true | false | null
30 | Blake    | 9 | Male   | false | true | false | null
31 | Violet    | 11 | Female | false | true | true | Butterfly
32 | Angelina    | 15 | Female | false | true | false | null
33 | Elise    | 13 | Female | false | true | true | Butterfly
34 | Curtis    | 14 | Male   | false | false | false | null
35 | Hunter    | 16 | Male   | false | false | false | null
36 | Alice    | 14 | Female | false | true | true | Backstroke
37 | Ginny    | 15 | Female | false | true | true | Backstroke
38 | Samuel    | 14 | Male   | false | true | true | Backstroke
39 | Rory    | 15 | Female | false | true | true | Backstroke
40 | Parker    | 9 | Male   | false | true | false | null
41 | Laura    | 9 | Female | false | true | true | Freestyle
42 | Liam    | 17 | Male   | false | true | false | null
43 | Kevin    | 7 | Male   | false | true | true | Freestyle
44 | Liam    | 13 | Male   | false | true | true | Breaststroke
45 | Anton    | 17 | Male   | false | true | true | Breaststroke
46 | Finn    | 10 | Male   | false | true | true | Butterfly
47 | Elaina    | 12 | Female | false | true | true | Freestyle
48 | Lydia    | 11 | Female | false | true | false | null
49 | Justin    | 13 | Male   | false | true | true | Backstroke
50 | Ivy    | 18 | Female | false | true | true | Backstroke
51 | Rowan    | 11 | Female | false | true | true | Freestyle
52 | Juniper    | 10 | Female | false | false | false | null
53 | Jaden    | 11 | Male   | false | true | true | Breaststroke
54 | Ella    | 7 | Female | false | false | false | null
55 | Zoe    | 7 | Female | false | true | false | null
56 | Ellie    | 12 | Female | false | false | false | null
57 | Donald    | 13 | Male   | false | true | true | Backstroke
58 | Bryan    | 10 | Male   | false | true | false | null
59 | Diana    | 12 | Female | false | true | false | null
60 | Zander    | 11 | Male   | true | true | true | Breaststroke
